DATE,Hour,Time Slot,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,MCP (Rs/MWh) *
10-03-2021,22,21:45 - 22:00,9164.4,6819.7,5988.7,5988.7,4250.71,4251.71
10-03-2021,23,22:00 - 22:15,9057.1,6617.6,5620,5620,4000.97,4001.97
10-03-2021,23,22:15 - 22:30,9057.9,6556.5,5528.9,5528.9,4000.95,4001.95
10-03-2021,23,22:30 - 22:45,9180,6499.5,5579,5579,4201.02,4202.02
10-03-2021,23,22:45 - 23:00,9269.5,6718.8,5590,5590,4072.76,4073.76
10-03-2021,24,23:00 - 23:15,9513.8,7392.6,6075,6075,4000.64,4001.64
10-03-2021,24,23:15 - 23:30,9863.5,7659.6,6342,6342,4000.96,4001.96
10-03-2021,24,23:30 - 23:45,10198.3,8005.5,6703.9,6703.9,4199.58,4200.58
10-03-2021,24,23:45 - 24:00,10125.5,8273.9,6856.3,6856.3,4000.48,4001.48
11-03-2021,1,00:00 - 00:15,10519.3,8927.7,7505.4,7505.4,3908.68,3909.68
11-03-2021,1,00:15 - 00:30,10502.7,9293.1,7670.8,7670.8,3900.04,3901.04
11-03-2021,1,00:30 - 00:45,10517.6,9891.1,7902,7900.8,3569.31,3570.31
11-03-2021,1,00:45 - 01:00,10456.7,10167.1,7929.3,7929.3,3500.05,3501.05
11-03-2021,2,01:00 - 01:15,10397.7,10494.1,7988.9,7987.7,3449.27,3450.27
11-03-2021,2,01:15 - 01:30,10478.4,10841.2,8085,8083.8,3398.26,3399.26
11-03-2021,2,01:30 - 01:45,10220,11233.3,7988.3,7987.1,3309.33,3310.33
11-03-2021,2,01:45 - 02:00,10177.1,11360.3,7945.3,7944.1,3305.33,3306.33
11-03-2021,3,02:00 - 02:15,10303.1,11790.7,8172.9,8171.7,3305.08,3306.08
11-03-2021,3,02:15 - 02:30,10321.9,11720.7,8191.9,8190.7,3305.36,3306.36
11-03-2021,3,02:30 - 02:45,10191.3,11812.7,8098.3,8097.1,3294.73,3295.73
11-03-2021,3,02:45 - 03:00,10035.2,11862.7,7957,7955.8,3249.98,3250.98
11-03-2021,4,03:00 - 03:15,9888.7,11875.1,7816.4,7815.2,3249.77,3250.77
11-03-2021,4,03:15 - 03:30,10065.7,11976.1,7986.6,7985.4,3267.24,3268.24
11-03-2021,4,03:30 - 03:45,10053.5,12111.1,7692.4,7691.2,3209.26,3210.26
11-03-2021,4,03:45 - 04:00,10052,12162.1,7736.7,7736.7,3200.62,3201.62
11-03-2021,5,04:00 - 04:15,10256.6,12418,8085.5,8084.3,3215.72,3216.72
11-03-2021,5,04:15 - 04:30,10375.6,12099,8179.8,8178.6,3294.39,3295.39
11-03-2021,5,04:30 - 04:45,10590.4,11779.1,8260.9,8359.7,3305.15,3306.15
11-03-2021,5,04:45 - 05:00,10687.5,11437.1,8346.3,8445.1,3374.11,3375.11
11-03-2021,6,05:00 - 05:15,11478.5,10699,8946,8957.8,3689.9,3690.9
11-03-2021,6,05:15 - 05:30,11584.2,10337.6,8738.6,8793,3999.5,4000.5
11-03-2021,6,05:30 - 05:45,11978.2,10397.4,8786.2,8935.3,3900.92,3901.92
11-03-2021,6,05:45 - 06:00,12135.6,11015.3,9365.8,9431.6,3529.6,3530.6
11-03-2021,7,06:00 - 06:15,13110.8,11891.6,10419.2,10675.14,4099.03,4100.03
11-03-2021,7,06:15 - 06:30,14547.9,13199.5,11857.76,11643.42,4299.44,4300.44
11-03-2021,7,06:30 - 06:45,14714.5,13088.5,12001.4,11600.62,4299.88,4300.88
11-03-2021,7,06:45 - 07:00,14837.5,12950.5,12079.7,11324.58,4489.38,4490.38
11-03-2021,8,07:00 - 07:15,15445.4,12837.9,12475,11705.62,4999.69,5000.69
11-03-2021,8,07:15 - 07:30,15644.9,12990.5,12718.7,11813.72,5000.13,5001.13
11-03-2021,8,07:30 - 07:45,15668.7,12719.4,12447.6,11858.22,5250.56,5251.56
11-03-2021,8,07:45 - 08:00,15386.5,12566,12267.4,11629.72,4999.88,5000.88
11-03-2021,9,08:00 - 08:15,14684.8,12134.2,11358.4,11309.4,4808.2,4809.2
